순위,title,artist,장르
5위,HOT, 세븐틴(SEVENTEEN),랩/힙합
6위,감동이야 (feat. 성시경), 싸이 (PSY),랩/힙합
7위,SHOUT OUT, ENHYPEN,랩/힙합
8위,ZOOM, 제시(Jessi),랩/힙합
9위,WALK THE LINE, ENHYPEN,랩/힙합
10위,Foreshadow, ENHYPEN,랩/힙합
11위,ParadoXXX Invasion, ENHYPEN,랩/힙합
12위,회전목마 (Feat. Zion.T,,랩/힙합
13위,CHEERS, 세븐틴(SEVENTEEN),랩/힙합
14위,TFW (That Feeling When), ENHYPEN,랩/힙합
15위,내 기쁨은 너가 벤틀리를 끄는 거야, 김승민,랩/힙합
16위,Summer (Feat. BE’O (비오)), Paul Blanco,랩/힙합
17위,문득, BE'O (비오),랩/힙합
18위,OHAYO MY NIGHT, 디핵(D,랩/힙합
19위,Future Perfect (Pass the MIC), ENHYPEN,랩/힙합
20위,리무진 (Feat. MINO) (Prod. GRAY), BE'O (비오),랩/힙합
21위,Counting Stars (Feat. Beenzino), BE'O (비오),랩/힙합
22위,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL), 베이식(Basick),랩/힙합
23위,Nike, The Quiett,랩/힙합
24위,어땠을까 (feat. 박정현), 싸이 (PSY),랩/힙합
25위,Alone (Feat. 이하이), 쿠기 (Coogie),랩/힙합
26위,I Don′t Lie (Feat. 기리보이), 헤이즈(Heize),랩/힙합
27위,엉덩이가 큰 그녀 (Feat. The Quiett), 릴러말즈 (Leellamarz),랩/힙합
28위,밤이 깊었네 (feat. 헤이즈), 싸이 (PSY),랩/힙합
29위,AVIATOR, YOUNITE,랩/힙합
30위,사이렌 Remix (Feat. UNEDUCATED KID,,랩/힙합
31위,Rainy day (Feat. ASH ISLAND,,랩/힙합
32위,시차 (We Are) (Feat. 로꼬 & GRAY), 우원재,랩/힙합
33위,METEOR, 창모(CHANGMO),랩/힙합
34위,검정색하트 (Feat. Leellamarz,,랩/힙합
